cycle_id,scenario_id,scenario_name,scenario_cycle,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before,packet_size,event_type,priority,expected_policy,expected_interface_sequence,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,flush_trigger,flush_interface,maintenance_due,wifi_maintenance_flag,expected_radio_attempts,static_lora_attempts,expected_energy_proxy,functionality_oracle_key,notes
11,S8,"CRITICAL battery, store-only protection",4,41,Normal,CRITICAL,0.87,NA,No,NA,No,NA,23,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,24,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
12,S2,"Normal soil, OK energy, poor LoRa history",1,36,Normal,OK,0.3,No,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,1,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
13,S6,"Extreme soil event, LOW energy, LoRa-only emergency",6,7,Extreme_Dry,LOW,0.4,Yes,Yes,NA,Yes,NA,23,96,EXTREME_DRY,CRITICAL,low_energy_critical_lora_only,LORA,LORA,Send,Delivered,None,23,No,None,No,No,1,1,3.7,EXTREME_DRY|CRITICAL|low_energy_critical_lora_only|LORA|LORA|Send|Delivered|None|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
14,S6,"Extreme soil event, LOW energy, LoRa-only emergency",7,94,Extreme_Wet,LOW,0.39,No,Yes,NA,Yes,NA,24,96,EXTREME_WET,CRITICAL,low_energy_critical_lora_only,LORA,DTN,Store,Stored,Enqueue,25,No,None,No,No,1,1,4.2,EXTREME_WET|CRITICAL|low_energy_critical_lora_only|LORA|DTN|Store|Stored|Enqueue|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
15,S8,"CRITICAL battery, store-only protection",3,40,Normal,CRITICAL,0.88,NA,No,NA,No,NA,22,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,23,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
16,S5,"Extreme wet, OK energy, deterministic cascade",6,93,Extreme_Wet,OK,0.32499999999999996,No,Yes,Yes,No,NA,17,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI,WIFI,Send,Delivered,None,17,No,None,No,No,2,1,6.4,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI|WIFI|Send|Delivered|None|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
17,S5,"Extreme wet, OK energy, deterministic cascade",9,92,Extreme_Wet,OK,0.31,No,Yes,No,Yes,No,20,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN,DTN,Store,Stored,Enqueue,21,No,None,No,No,4,1,11.6,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN|DTN|Store|Stored|Enqueue|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
18,S10,Scheduled WiFi maintenance gating,3,39,Normal,OK,0.89,Yes,No,NA,No,NA,10,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA,LORA,Send,Delivered,None,10,No,None,Yes,No,1,1,3.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA|LORA|Send|Delivered|None|No|None|No,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
19,S8,"CRITICAL battery, store-only protection",7,40,Normal,CRITICAL,0.8400000000000001,NA,No,NA,No,NA,26,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,27,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
20,S4,"Extreme dry, OK energy, deterministic cascade",8,9,Extreme_Dry,OK,0.33,No,Yes,No,Yes,Yes,17,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE,BLE_RELIABLE,Send,Delivered,None,17,No,None,No,No,3,1,9.1,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE|BLE_RELIABLE|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
21,S4,"Extreme dry, OK energy, deterministic cascade",1,8,Extreme_Dry,OK,0.4,Yes,No,NA,No,NA,10,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA,LORA,Send,Delivered,None,10,No,None,No,No,1,1,3.7,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA|LORA|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
22,S3,Rainfall/noncritical wet soil with weak LoRa,2,74,Wet,OK,0.22,No,No,NA,No,NA,4,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,5,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
23,S4,"Extreme dry, OK energy, deterministic cascade",3,10,Extreme_Dry,OK,0.38,No,Yes,No,Yes,Yes,12,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE,BLE_RELIABLE,Send,Delivered,None,12,No,None,No,No,3,1,9.1,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE|BLE_RELIABLE|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
24,S10,Scheduled WiFi maintenance gating,7,39,Normal,OK,0.87,Yes,No,NA,No,NA,8,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA,LORA,Send,Delivered,None,8,No,None,Yes,No,1,1,3.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA|LORA|Send|Delivered|None|No|None|No,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
25,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",1,40,Normal,OK,0.78,Yes,Yes,Yes,No,NA,30,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Dequeue,27,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Dequeue|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
26,S5,"Extreme wet, OK energy, deterministic cascade",10,93,Extreme_Wet,OK,0.305,No,No,NA,No,NA,21,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN,DTN,Store,Stored,Enqueue,22,No,None,No,No,4,1,11.6,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN|DTN|Store|Stored|Enqueue|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
27,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",4,43,Normal,OK,0.765,Yes,Yes,No,No,NA,33,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Retain_failed_flush,33,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Retain_failed_flush|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
28,S3,Rainfall/noncritical wet soil with weak LoRa,7,77,Wet,OK,0.19,No,No,NA,No,NA,9,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,10,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
29,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",8,42,Normal,OK,0.745,Yes,Yes,No,No,NA,37,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Retain_failed_flush,37,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Retain_failed_flush|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
30,S4,"Extreme dry, OK energy, deterministic cascade",4,8,Extreme_Dry,OK,0.37,No,No,NA,Yes,Yes,13,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE,BLE_RELIABLE,Send,Delivered,None,13,No,None,No,No,3,1,9.1,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE|BLE_RELIABLE|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
31,S1,"Normal soil, OK energy, reliable LoRa",9,37,Normal,OK,0.94,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
32,S5,"Extreme wet, OK energy, deterministic cascade",8,95,Extreme_Wet,OK,0.31499999999999995,Yes,No,NA,No,NA,19,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA,LORA,Send,Delivered,None,19,No,None,No,No,1,1,3.7,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA|LORA|Send|Delivered|None|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
33,S6,"Extreme soil event, LOW energy, LoRa-only emergency",10,7,Extreme_Dry,LOW,0.36,No,Yes,NA,Yes,NA,27,96,EXTREME_DRY,CRITICAL,low_energy_critical_lora_only,LORA,DTN,Store,Stored,Enqueue,28,No,None,No,No,1,1,4.2,EXTREME_DRY|CRITICAL|low_energy_critical_lora_only|LORA|DTN|Store|Stored|Enqueue|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
34,S7,"LOW battery, noncritical soil, warning-store policy",4,42,Normal,LOW,0.77,NA,No,NA,No,NA,18,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,19,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
35,S8,"CRITICAL battery, store-only protection",5,38,Normal,CRITICAL,0.86,NA,No,NA,No,NA,24,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,25,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
36,S5,"Extreme wet, OK energy, deterministic cascade",5,92,Extreme_Wet,OK,0.32999999999999996,No,No,NA,No,NA,16,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN,DTN,Store,Stored,Enqueue,17,No,None,No,No,4,1,11.6,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN|DTN|Store|Stored|Enqueue|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
37,S10,Scheduled WiFi maintenance gating,9,37,Normal,OK,0.86,Yes,Yes,Yes,No,NA,10,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,10,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
38,S6,"Extreme soil event, LOW energy, LoRa-only emergency",3,94,Extreme_Wet,LOW,0.43,Yes,Yes,NA,Yes,NA,20,96,EXTREME_WET,CRITICAL,low_energy_critical_lora_only,LORA,LORA,Send,Delivered,None,20,No,None,No,No,1,1,3.7,EXTREME_WET|CRITICAL|low_energy_critical_lora_only|LORA|LORA|Send|Delivered|None|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
39,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",6,40,Normal,OK,0.755,Yes,Yes,Yes,No,NA,35,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Dequeue,32,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Dequeue|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
40,S2,"Normal soil, OK energy, poor LoRa history",3,41,Normal,OK,0.33,No,No,NA,No,NA,2,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,3,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
41,S4,"Extreme dry, OK energy, deterministic cascade",7,8,Extreme_Dry,OK,0.34,No,Yes,Yes,No,NA,16,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI,WIFI,Send,Delivered,None,16,No,None,No,No,2,1,6.4,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI|WIFI|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
42,S3,Rainfall/noncritical wet soil with weak LoRa,4,78,Wet,OK,0.15,No,No,NA,No,NA,6,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,7,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
43,S4,"Extreme dry, OK energy, deterministic cascade",10,8,Extreme_Dry,OK,0.31000000000000005,No,No,NA,No,NA,19,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN,DTN,Store,Stored,Enqueue,20,No,None,No,No,4,1,11.6,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN|DTN|Store|Stored|Enqueue|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
44,S5,"Extreme wet, OK energy, deterministic cascade",1,92,Extreme_Wet,OK,0.35,No,Yes,Yes,No,NA,12,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI,WIFI,Send,Delivered,None,12,No,None,No,No,2,1,6.4,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI|WIFI|Send|Delivered|None|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
45,S2,"Normal soil, OK energy, poor LoRa history",9,37,Normal,OK,0.26,No,No,NA,No,NA,8,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,9,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
46,S7,"LOW battery, noncritical soil, warning-store policy",7,40,Normal,LOW,0.74,NA,No,NA,No,NA,21,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,22,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
47,S7,"LOW battery, noncritical soil, warning-store policy",2,40,Normal,LOW,0.79,NA,No,NA,No,NA,16,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,17,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
48,S7,"LOW battery, noncritical soil, warning-store policy",1,39,Normal,LOW,0.8,NA,No,NA,No,NA,15,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,16,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
49,S1,"Normal soil, OK energy, reliable LoRa",8,41,Normal,OK,0.96,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
50,S4,"Extreme dry, OK energy, deterministic cascade",5,9,Extreme_Dry,OK,0.36000000000000004,No,No,NA,No,NA,14,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN,DTN,Store,Stored,Enqueue,15,No,None,No,No,4,1,11.6,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN|DTN|Store|Stored|Enqueue|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
51,S10,Scheduled WiFi maintenance gating,10,38,Normal,OK,0.855,Yes,Yes,Yes,No,NA,8,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,8,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
52,S5,"Extreme wet, OK energy, deterministic cascade",7,94,Extreme_Wet,OK,0.31999999999999995,No,No,NA,Yes,Yes,18,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE,BLE_RELIABLE,Send,Delivered,None,18,No,None,No,No,3,1,9.1,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE|BLE_RELIABLE|Send|Delivered|None|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
53,S1,"Normal soil, OK energy, reliable LoRa",3,38,Normal,OK,0.96,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
54,S6,"Extreme soil event, LOW energy, LoRa-only emergency",2,7,Extreme_Dry,LOW,0.44,No,Yes,NA,Yes,NA,19,96,EXTREME_DRY,CRITICAL,low_energy_critical_lora_only,LORA,DTN,Store,Stored,Enqueue,20,No,None,No,No,1,1,4.2,EXTREME_DRY|CRITICAL|low_energy_critical_lora_only|LORA|DTN|Store|Stored|Enqueue|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
55,S2,"Normal soil, OK energy, poor LoRa history",7,38,Normal,OK,0.27,No,No,NA,No,NA,6,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,7,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
56,S4,"Extreme dry, OK energy, deterministic cascade",9,10,Extreme_Dry,OK,0.32,No,No,NA,Yes,Yes,18,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE,BLE_RELIABLE,Send,Delivered,None,18,No,None,No,No,3,1,9.1,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE|BLE_RELIABLE|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
